Comment,Time (Optimized),Time (Original),Diff (Opt - Orig) Latitude,Diff (Opt - Orig) Longitude,Diff (Opt - GPS) Latitude,Diff (Opt - GPS) Longitude,Diff (Orig - GPS) Latitude,Diff (Orig - GPS) Longitude
100. Basic,12.52259612083435,10.833860635757446,1.8751320567389484e-06,-1.3257412732059493e-05,0.0002536479070727182,0.00014525241809337786,0.0002517727750159793,0.00015850983082543735
100. change PIL to cv2,10.584007024765015,10.445235967636108,1.893552735054982e-06,-1.3914896854316794e-05,0.00025366632775103426,0.00014459493397112055,0.0002517727750159793,0.00015850983082543735
100. change in findHomography maxIters to 1000,10.08866000175476,10.914377212524414,1.7596050270185515e-06,-1.3439549277904916e-05,0.00025353238004299783,0.00014507028154753243,0.0002517727750159793,0.00015850983082543735
100. change in findHomography maxIters to 500,9.105353832244873,10.93690013885498,1.5531708399407762e-06,-1.4018754725952931e-05,0.00025332594585592005,0.00014449107609948442,0.0002517727750159793,0.00015850983082543735
100. change in findHomography maxIters to 100,8.837957620620728,10.583848237991333,1.6803338596105277e-06,-1.4219329216302867e-05,0.0002534531088755898,0.00014429050160913448,0.0002517727750159793,0.00015850983082543735
"100. change top_k to 256, detection_threshold to 0.01",12.25993037223816,11.204328536987305,1.6968321929766716e-06,-1.4399739356463215e-05,0.00025346960720895595,0.00014411009146897413,0.0002517727750159793,0.00015850983082543735100. Basic,12.198342084884644,11.237735986709595,1.8751320567389484e-06,-1.3257412732059493e-05,0.0002536479070727182,0.00014525241809337786,0.0002517727750159793,0.00015850983082543735
100. Basic,12.388601303100586,11.568996667861938,1.8751320567389484e-06,-1.3257412732059493e-05,0.0002536479070727182,0.00014525241809337786,0.0002517727750159793,0.00015850983082543735
