Comment,Latitude RMSE (Optimized),Latitude RMSE (Original),Mean Latitude Diff (Opt - Org),Mean Latitude Diff (Opt - GPS),Longitude RMSE (Optimized),Longitude RMSE (Original),Mean Longitude Diff (Opt - Org),Mean Longitude Diff (Opt - GPS),Altitude RMSE (Optimized),Altitude RMSE (Original)
Start compare on 100,0.0002518032822417964,0.0002518032822417964,0.0,0.0002517727750178267,0.0001586097120997487,0.0001586097120997487,0.0,0.0001585098307911892,1052.1405522613727,1052.1405522613727
Change PIL to OpenCV,0.0002517980991826287,0.0002518032822417964,-5.2879555312301815e-09,0.00025176748706229546,0.00015852461638844194,0.0001586097120997487,-9.148519893642514e-08,0.00015841834559225277,1052.1405522613727,1052.1405522613727
Change in findHomography maxIters to 500,0.00025177425243519495,0.0002518032822417964,-3.0241103132766514e-08,0.0002517425339146939,0.0001585165124296987,0.0001586097120997487,-1.0168314858560734e-07,0.0001584081476426036,1052.1405522613727,1052.1405522613727
Change in findHomography maxIters to 1000,0.00025179067665468476,0.0002518032822417964,-1.3003713519310622e-08,0.00025175977130430737,0.00015857439902359856,0.0001586097120997487,-3.811891417626612e-08,0.0001584717118770129,1052.1405522613727,1052.1405522613727
"Change top_k to 512, detection_threshold to 0.01",0.0002518032822417964,0.0002518032822417964,0.0,0.0002517727750178267,0.0001586097120997487,0.0001586097120997487,0.0,0.0001585098307911892,1052.1405522613727,1052.1405522613727
"Change top_k to 256, detection_threshold to 0.05",0.0002517862205354483,0.0002518032822417964,-1.7772958145201302e-08,0.00025175500205968146,0.00015848272442272598,0.0001586097120997487,-1.3825575535975078e-07,0.00015837157503582942,1052.1405522613727,1052.1405522613727
"Change top_k to 256, detection_threshold to 0.01",0.0002517862205354483,0.0002518032822417964,-1.7772958145201302e-08,0.00025175500205968146,0.00015848272442272598,0.0001586097120997487,-1.3825575535975078e-07,0.00015837157503582942,1052.1405522613727,1052.1405522613727
