Metric,Original VIO,Transformed Original VIO,Optimized VIO,Transformed Optimized VIO
Mean Distance (m),29.77542284353348,0.1549674610918567,29.69559826506415,0.15496746114584206
Max Distance (m),30.130248280936087,0.5572709549773892,30.05226844141948,0.5572709547205908
Min Distance (m),27.89726773570935,0.0,27.8427324712463,0.0
RMSE (m),29.780092336147522,0.19228075309525414,29.700176547458803,0.1922807531950444
